date,hour,day_of_week,temperature,rainfall,event_flag,burger_orders,fries_orders,wrap_orders,bucket_orders,drink_orders
2025-01-09,10,3,23.7,0.0,0,5,9,3,2,11
2025-01-09,11,3,22.3,0.0,0,9,14,5,5,13
2025-01-09,12,3,22.6,0.0,0,12,18,10,6,25
2025-01-09,13,3,19.3,0.0,0,15,19,9,7,22
2025-01-09,14,3,21.9,0.0,0,13,17,8,7,25
2025-01-09,15,3,22.1,0.0,0,9,14,6,5,17
2025-01-09,16,3,21.8,0.0,0,9,11,5,5,15
2025-01-09,17,3,22.7,0.0,0,10,13,8,6,15
2025-01-09,18,3,26.9,0.0,0,11,14,7,5,21
2025-01-09,19,3,25.7,0.0,0,12,17,10,6,23
2025-01-09,20,3,25.7,0.0,0,13,22,8,11,25
2025-01-09,21,3,24.5,0.0,0,14,16,8,8,23
2025-01-09,22,3,26.1,0.0,0,9,15,7,5,19
2025-01-09,23,3,31.0,0.0,0,6,10,5,4,14
2025-01-10,0,4,29.2,0.0,0,2,3,1,0,2
2025-01-10,1,4,30.8,0.0,0,2,2,0,4,2
2025-01-10,2,4,31.8,0.0,0,2,3,0,2,2
2025-01-10,3,4,34.5,0.0,0,4,1,2,3,4
2025-01-10,4,4,32.9,0.0,0,1,2,1,0,3
2025-01-10,5,4,30.4,0.1,0,3,1,1,0,5
2025-01-10,6,4,30.3,0.0,0,3,2,1,0,2
2025-01-10,7,4,30.6,0.3,0,1,2,2,0,4
2025-01-10,8,4,23.1,0.0,0,4,3,2,0,4
2025-01-10,9,4,28.1,0.0,0,4,4,3,2,7
2025-01-10,10,4,24.4,0.0,0,5,6,3,2,11
2025-01-10,11,4,18.7,0.0,0,12,11,6,4,16
2025-01-10,12,4,24.2,0.0,0,16,18,9,6,22
2025-01-10,13,4,22.4,5.2,0,17,26,15,8,31
2025-01-10,14,4,18.1,0.0,0,15,20,9,6,23
2025-01-10,15,4,21.6,0.0,0,10,14,6,5,18
2025-01-10,16,4,18.1,0.0,0,10,11,6,5,14
2025-01-10,17,4,22.8,0.2,1,32,42,21,16,46
2025-01-10,18,4,21.8,0.0,1,34,49,24,19,56
2025-01-10,19,4,26.2,0.0,1,39,54,31,24,74
2025-01-10,20,4,30.7,0.4,1,50,61,29,21,80
2025-01-10,21,4,27.2,0.4,1,41,60,28,21,75
2025-01-10,22,4,27.4,0.3,1,33,46,22,16,61
2025-01-10,23,4,29.0,0.0,0,7,9,4,3,13
2025-01-11,0,5,29.9,0.0,0,4,5,3,4,6
2025-01-11,1,5,29.1,0.0,0,4,5,5,3,6
2025-01-11,2,5,30.3,0.0,0,4,4,4,3,5
2025-01-11,3,5,32.0,0.0,0,4,4,2,2,6
2025-01-11,4,5,30.8,0.0,0,5,6,4,2,7
2025-01-11,5,5,29.8,0.0,0,3,5,4,3,6
2025-01-11,6,5,28.2,0.0,0,6,4,4,4,6
2025-01-11,7,5,26.9,0.0,0,4,5,4,2,7
2025-01-11,8,5,23.7,0.0,0,4,6,2,4,9
2025-01-11,9,5,28.2,0.0,0,8,13,4,5,16
2025-01-11,10,5,25.4,0.0,0,16,20,8,9,24
2025-01-11,11,5,23.8,0.0,0,26,32,16,14,39
2025-01-11,12,5,22.1,0.0,0,32,43,24,20,57
2025-01-11,13,5,20.0,0.0,0,39,54,27,25,66
2025-01-11,14,5,20.2,0.8,0,37,47,24,25,59
2025-01-11,15,5,19.0,0.0,0,27,39,20,21,48
2025-01-11,16,5,20.8,0.0,0,24,33,16,18,37
2025-01-11,17,5,22.5,0.0,1,74,92,50,51,127
2025-01-11,18,5,26.3,0.0,1,84,114,56,61,150
2025-01-11,19,5,26.7,1.5,1,110,155,77,82,204
2025-01-11,20,5,29.8,0.0,1,109,147,71,74,210
2025-01-11,21,5,29.1,0.0,1,111,141,66,73,185
2025-01-11,22,5,27.5,0.0,1,82,111,59,54,147
2025-01-11,23,5,27.5,0.0,0,18,24,13,14,33
2025-01-12,0,6,28.4,0.0,0,5,6,6,2,6
2025-01-12,1,6,32.8,0.0,0,5,5,3,5,8
2025-01-12,2,6,30.6,0.0,0,3,4,5,3,6
2025-01-12,3,6,30.7,0.0,0,3,5,3,3,5
2025-01-12,4,6,31.3,0.0,0,4,6,2,5,6
2025-01-12,5,6,28.8,0.0,0,5,4,2,2,6
2025-01-12,6,6,28.9,0.0,0,3,4,4,2,7
2025-01-12,7,6,26.4,0.0,0,3,4,2,4,8
2025-01-12,8,6,25.7,0.0,0,5,6,2,3,9
2025-01-12,9,6,27.1,0.0,0,9,12,5,4,12
2025-01-12,10,6,24.6,0.0,0,12,18,10,8,26
2025-01-12,11,6,24.8,0.0,0,20,30,17,17,42
2025-01-12,12,6,21.2,0.0,0,38,46,21,21,55
2025-01-12,13,6,23.2,0.0,0,38,52,26,25,61
2025-01-12,14,6,18.6,0.0,0,33,52,26,22,56
2025-01-12,15,6,22.1,0.0,0,25,37,17,20,47
2025-01-12,16,6,23.8,0.0,0,26,31,16,15,39
2025-01-12,17,6,20.0,0.0,1,77,100,49,55,123
2025-01-12,18,6,23.1,0.0,1,92,117,58,58,146
2025-01-12,19,6,25.7,0.0,1,116,137,69,70,183
2025-01-12,20,6,28.9,0.0,1,113,153,78,82,206
2025-01-12,21,6,27.0,0.0,1,111,134,64,71,182
2025-01-12,22,6,30.4,0.0,1,87,115,53,56,149
2025-01-12,23,6,33.3,0.0,0,22,28,13,11,37
2025-01-13,0,0,32.5,0.0,0,2,1,0,1,3
2025-01-13,1,0,31.5,0.0,0,2,1,0,1,4
2025-01-13,2,0,32.8,0.0,0,2,1,0,1,2
2025-01-13,3,0,30.7,0.1,0,2,3,0,0,4
2025-01-13,4,0,32.4,0.0,0,3,1,1,0,3
2025-01-13,5,0,33.7,3.2,0,3,3,1,1,3
2025-01-13,6,0,28.6,3.4,0,2,4,1,1,4
2025-01-13,7,0,27.5,0.0,0,1,1,1,2,4
2025-01-13,8,0,22.6,0.0,0,1,3,3,2,4
2025-01-13,9,0,26.5,0.0,0,3,5,2,1,4
2025-01-13,10,0,24.1,0.0,0,6,9,3,3,12
2025-01-13,11,0,26.1,0.0,0,9,13,6,5,16
2025-01-13,12,0,24.8,0.0,0,15,20,9,8,21
2025-01-13,13,0,20.5,4.6,0,20,27,13,10,30
2025-01-13,14,0,23.7,0.0,0,14,17,10,6,21
2025-01-13,15,0,17.8,0.0,0,11,15,7,5,20
2025-01-13,16,0,19.8,3.2,0,11,14,7,8,19
2025-01-13,17,0,25.8,0.0,0,9,13,5,4,19
2025-01-13,18,0,26.5,0.0,1,35,45,24,21,62
2025-01-13,19,0,25.9,0.7,1,43,59,34,20,74
2025-01-13,20,0,28.7,1.7,1,44,69,30,26,89
2025-01-13,21,0,26.6,0.0,1,46,52,29,20,70
2025-01-13,22,0,28.9,0.0,1,31,40,24,19,59
2025-01-13,23,0,32.2,3.7,0,9,15,6,4,19
2025-01-14,0,1,31.0,0.0,0,1,3,1,1,2
2025-01-14,1,1,30.1,0.0,0,2,2,0,2,2
2025-01-14,2,1,33.7,0.0,0,3,1,0,1,2
2025-01-14,3,1,30.2,0.0,0,3,2,0,0,3
2025-01-14,4,1,32.4,0.0,0,3,2,3,1,3
2025-01-14,5,1,34.5,0.0,0,1,2,0,1,3
2025-01-14,6,1,26.2,0.0,0,1,1,2,1,4
2025-01-14,7,1,31.5,0.0,0,1,3,2,0,2
2025-01-14,8,1,27.8,0.0,0,2,3,2,1,5
2025-01-14,9,1,23.7,0.0,0,4,4,1,2,5
2025-01-14,10,1,24.9,0.0,0,7,8,5,4,10
2025-01-14,11,1,25.1,0.0,0,10,12,5,4,14
2025-01-14,12,1,21.3,0.0,0,13,20,7,7,20
2025-01-14,13,1,23.3,0.0,0,14,21,10,6,24
2025-01-14,14,1,25.4,0.0,0,14,22,10,6,26
2025-01-14,15,1,21.4,0.0,0,10,16,7,5,18
2025-01-14,16,1,20.9,0.0,0,10,11,7,4,15
2025-01-14,17,1,23.4,0.0,0,10,13,5,6,16
2025-01-14,18,1,24.8,0.0,0,12,15,6,7,19
2025-01-14,19,1,28.1,0.0,0,12,20,7,8,26
2025-01-14,20,1,26.9,0.0,0,14,25,9,7,25
2025-01-14,21,1,27.7,0.8,0,12,17,9,8,24
2025-01-14,22,1,31.4,0.0,0,9,14,6,8,23
2025-01-14,23,1,26.1,0.0,0,6,12,7,3,12
2025-01-15,0,2,34.3,0.0,0,3,1,0,1,3
2025-01-15,1,2,30.6,0.0,0,2,1,3,0,3
2025-01-15,2,2,30.1,0.0,0,3,3,1,1,4
2025-01-15,3,2,31.9,0.0,0,1,2,2,0,3
2025-01-15,4,2,33.3,0.0,0,2,1,3,0,2
2025-01-15,5,2,30.6,0.0,0,2,3,2,0,2
2025-01-15,6,2,27.9,0.0,0,2,1,0,1,2
2025-01-15,7,2,29.7,0.0,0,1,3,2,0,2
2025-01-15,8,2,25.8,0.0,0,1,3,2,1,3
2025-01-15,9,2,25.8,0.0,0,3,3,2,3,4
2025-01-15,10,2,23.5,0.0,0,6,8,5,5,10
2025-01-15,11,2,24.1,0.0,0,8,12,6,5,17
2025-01-15,12,2,22.8,0.0,0,15,16,9,7,21
2025-01-15,13,2,22.9,1.3,0,18,23,11,7,26
2025-01-15,14,2,21.0,0.0,0,16,17,8,8,22
2025-01-15,15,2,22.8,0.0,0,10,15,6,7,17
2025-01-15,16,2,17.8,0.0,0,13,11,7,5,17
2025-01-15,17,2,26.0,0.0,0,10,14,6,5,17
2025-01-15,18,2,24.2,0.0,0,13,18,8,6,18
2025-01-15,19,2,25.3,0.0,0,13,16,7,8,25
2025-01-15,20,2,24.6,0.0,0,12,20,8,8,24
2025-01-15,21,2,27.1,0.0,0,13,18,7,6,25
2025-01-15,22,2,31.8,0.5,0,10,15,9,7,19
2025-01-15,23,2,33.5,0.0,0,6,11,5,3,18
2025-01-16,0,3,32.1,0.0,0,2,2,3,1,3
2025-01-16,1,3,32.1,0.0,0,3,3,0,2,4
2025-01-16,2,3,31.9,0.0,0,1,3,0,2,3
2025-01-16,3,3,31.9,0.0,0,3,1,1,1,3
2025-01-16,4,3,32.4,0.0,0,3,2,1,1,4
2025-01-16,5,3,31.6,0.0,0,4,1,1,1,2
2025-01-16,6,3,28.7,0.0,0,2,2,0,0,3
2025-01-16,7,3,27.0,0.2,0,2,5,0,0,5
2025-01-16,8,3,28.2,0.0,0,3,3,2,1,5
2025-01-16,9,3,23.8,0.0,0,4,4,1,3,7
2025-01-16,10,3,24.0,0.0,0,6,7,3,3,9
2025-01-16,11,3,26.1,0.0,0,9,12,5,5,17
2025-01-16,12,3,20.1,0.0,0,11,18,10,6,23
2025-01-16,13,3,23.9,0.0,0,15,19,9,7,24
2025-01-16,14,3,18.4,0.0,0,13,20,10,7,22
2025-01-16,15,3,26.1,0.0,0,11,16,6,5,19
2025-01-16,16,3,22.1,0.0,0,11,11,5,5,17
2025-01-16,17,3,24.8,0.0,0,9,14,5,5,18
2025-01-16,18,3,25.3,0.0,0,13,16,7,8,18
2025-01-16,19,3,26.6,0.6,0,15,19,9,6,25
2025-01-16,20,3,31.9,0.0,0,15,20,8,8,28
2025-01-16,21,3,30.2,0.0,0,13,18,8,6,25
2025-01-16,22,3,27.5,0.0,0,10,12,6,7,18
2025-01-16,23,3,31.3,4.9,0,8,13,5,4,17
2025-01-17,0,4,32.4,1.6,0,1,2,2,1,3
2025-01-17,1,4,30.6,0.0,0,1,4,1,0,3
2025-01-17,2,4,31.8,0.3,0,2,2,2,0,3
2025-01-17,3,4,33.6,0.0,0,3,2,0,2,2
2025-01-17,4,4,32.6,0.0,0,2,2,2,1,3
2025-01-17,5,4,33.2,0.0,0,3,1,1,1,3
2025-01-17,6,4,26.5,0.0,0,1,3,0,4,2
2025-01-17,7,4,26.5,0.4,0,3,1,1,1,4
2025-01-17,8,4,27.0,0.0,0,2,3,1,0,3
2025-01-17,9,4,26.8,1.0,0,2,5,2,2,5
2025-01-17,10,4,23.4,0.0,0,5,8,3,3,11
2025-01-17,11,4,21.5,1.7,0,11,13,7,7,19
2025-01-17,12,4,27.6,0.0,0,12,17,8,6,26
2025-01-17,13,4,22.3,0.0,0,13,21,8,9,23
2025-01-17,14,4,23.9,1.4,0,16,21,9,6,24
2025-01-17,15,4,19.9,0.0,0,10,17,7,6,22
2025-01-17,16,4,25.7,0.2,0,10,11,5,5,14
2025-01-17,17,4,22.8,0.0,1,29,38,17,19,48
2025-01-17,18,4,29.2,0.0,1,41,45,25,21,62
2025-01-17,19,4,26.3,3.4,1,50,72,33,23,91
2025-01-17,20,4,29.0,1.8,1,49,65,34,25,91
2025-01-17,21,4,31.0,0.0,1,41,54,25,22,79
2025-01-17,22,4,27.6,0.0,1,32,42,22,17,53
2025-01-17,23,4,30.8,0.0,0,6,10,5,6,15
2025-01-18,0,5,33.8,0.0,0,5,5,2,3,7
2025-01-18,1,5,34.0,0.0,0,4,5,4,2,8
2025-01-18,2,5,32.0,0.0,0,5,4,2,4,7
2025-01-18,3,5,34.0,0.0,0,4,4,2,2,6
2025-01-18,4,5,33.9,2.4,0,3,5,3,2,8
2025-01-18,5,5,31.7,0.0,0,4,7,3,3,6
2025-01-18,6,5,30.3,0.0,0,4,5,3,3,6
2025-01-18,7,5,30.5,0.0,0,5,6,3,4,6
2025-01-18,8,5,29.8,1.8,0,5,7,4,5,10
2025-01-18,9,5,25.6,0.0,0,7,10,4,4,14
2025-01-18,10,5,23.3,0.0,0,12,21,11,9,24
2025-01-18,11,5,26.9,0.8,0,25,34,14,18,41
2025-01-18,12,5,26.4,0.0,0,30,44,24,21,60
2025-01-18,13,5,23.4,0.0,0,36,52,27,29,64
2025-01-18,14,5,23.4,0.0,0,36,44,22,25,58
2025-01-18,15,5,24.8,4.1,0,37,47,21,25,63
2025-01-18,16,5,25.0,0.0,0,22,34,15,15,39
2025-01-18,17,5,24.4,0.0,1,80,95,50,48,121
2025-01-18,18,5,27.8,0.0,1,86,119,60,61,153
2025-01-18,19,5,25.2,0.0,1,102,143,64,69,170
2025-01-18,20,5,29.7,0.0,1,120,148,73,74,202
2025-01-18,21,5,29.8,0.0,1,102,130,68,69,180
2025-01-18,22,5,27.0,0.0,1,80,116,57,59,139
2025-01-18,23,5,27.9,0.0,0,21,23,13,13,34
2025-01-19,0,6,31.8,0.0,0,4,4,5,2,7
2025-01-19,1,6,31.3,0.0,0,4,5,4,2,5
2025-01-19,2,6,29.2,0.0,0,4,6,3,2,7
2025-01-19,3,6,30.5,0.0,0,5,4,2,4,5
2025-01-19,4,6,32.0,0.0,0,3,7,2,4,7
2025-01-19,5,6,29.9,0.0,0,3,4,2,2,6
2025-01-19,6,6,35.2,0.0,0,4,4,3,2,9
2025-01-19,7,6,28.0,0.0,0,3,5,3,3,9
2025-01-19,8,6,30.4,0.0,0,6,7,3,5,8
2025-01-19,9,6,30.0,0.0,0,10,9,5,5,14
2025-01-19,10,6,24.5,0.0,0,13,17,8,9,24
2025-01-19,11,6,23.3,0.0,0,23,32,15,16,40
2025-01-19,12,6,22.7,0.0,0,35,46,22,22,54
2025-01-19,13,6,22.9,0.0,0,33,48,25,23,64
2025-01-19,14,6,22.3,0.0,0,36,51,21,23,56
